R,apikey,id,name,url,location,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,offers,thumb,user_rating,photos_url,menu_url,featured_image,has_online_delivery,is_delivering_now,deeplink,has_table_booking,events_url,establishment_types
{'res_id': 16644132},7d280e0c8e0c9327cd892eac713015f6,16644132,Sidelines Bar & Grill,https://www.zomato.com/coaldale-ab/sidelines-bar-grill-coaldale?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '913 19a Ave T1M1A4', 'locality': 'Coaldale', 'city': 'Coaldale', 'city_id': 2919, 'latitude': '49.7312165000', 'longitude': '-112.6025363000', 'zipcode': 'T1M1A4', 'country_id': 37, 'locality_verbose': 'Coaldale, Coaldale'}",0,Others,25,2,$,[],,"{'aggregate_rating': '2.8', 'rating_text': 'Average', 'rating_color': 'FFBA00', 'votes': '4'}",https://www.zomato.com/coaldale-ab/sidelines-bar-grill-coaldale/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/coaldale-ab/sidelines-bar-grill-coaldale/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/16644132,0,https://www.zomato.com/coaldale-ab/sidelines-bar-grill-coaldale/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 16641815},7d280e0c8e0c9327cd892eac713015f6,16641815,Taco Time,https://www.zomato.com/taber-ab/taco-time-taber?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '5307-50th Avenue T1G', 'locality': 'Taber', 'city': 'Taber', 'city_id': 2912, 'latitude': '49.7859644000', 'longitude': '-112.1434898000', 'zipcode': 'T1G', 'country_id': 37, 'locality_verbose': 'Taber, Taber'}",0,"Fast Food, Mexican",10,1,$,[],,"{'aggregate_rating': '2.8', 'rating_text': 'Average', 'rating_color': 'FFBA00', 'votes': '5'}",https://www.zomato.com/taber-ab/taco-time-taber/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/taber-ab/taco-time-taber/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/16641815,0,https://www.zomato.com/taber-ab/taco-time-taber/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17806236},7d280e0c8e0c9327cd892eac713015f6,17806236,Taber Restaurant,https://www.zomato.com/taber-ab/taber-restaurant-taber?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': 'Taber Golf Club, 4909 44 Street, Taber T1G 1G1', 'locality': 'Taber', 'city': 'Taber', 'city_id': 2912, 'latitude': '49.7838200000', 'longitude': '-112.1626040000', 'zipcode': 'T1G 1G1', 'country_id': 37, 'locality_verbose': 'Taber, Taber'}",0,American,25,2,$,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '0'}",https://www.zomato.com/taber-ab/taber-restaurant-taber/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/taber-ab/taber-restaurant-taber/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17806236,0,https://www.zomato.com/taber-ab/taber-restaurant-taber/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 16644260},7d280e0c8e0c9327cd892eac713015f6,16644260,Panago Pizza,https://www.zomato.com/taber-ab/panago-pizza-taber?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '5003 - 47th Avenue T1G1R7', 'locality': 'Taber', 'city': 'Taber', 'city_id': 2912, 'latitude': '49.7827575000', 'longitude': '-112.1495808000', 'zipcode': 'T1G1R7', 'country_id': 37, 'locality_verbose': 'Taber, Taber'}",0,"Pizza, Healthy Food",25,2,$,[],,"{'aggregate_rating': '0', 'rating_text': 'Not rated', 'rating_color': 'CBCBC8', 'votes': '1'}",https://www.zomato.com/taber-ab/panago-pizza-taber/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/taber-ab/panago-pizza-taber/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/16644260,0,https://www.zomato.com/taber-ab/panago-pizza-taber/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
