R,apikey,id,name,url,location,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,offers,thumb,user_rating,photos_url,menu_url,featured_image,has_online_delivery,is_delivering_now,deeplink,has_table_booking,events_url,establishment_types
{'res_id': 17323951},7d280e0c8e0c9327cd892eac713015f6,17323951,Longhorn Tavern Steak House,https://www.zomato.com/college-station-tx/longhorn-tavern-steak-house-bryan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '201 E 24th St 77803', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6753950000', 'longitude': '-96.3718820000', 'zipcode': '77803', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,"American, Steak",25,2,$,[],,"{'aggregate_rating': '3.8', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '185'}",https://www.zomato.com/college-station-tx/longhorn-tavern-steak-house-bryan/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/longhorn-tavern-steak-house-bryan/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17323951,0,https://www.zomato.com/college-station-tx/longhorn-tavern-steak-house-bryan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17851737},7d280e0c8e0c9327cd892eac713015f6,17851737,Rockin B. Steakhouse,https://www.zomato.com/college-station-tx/rockin-b-steakhouse-bryan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '3629 Tabor Road, Bryan TX 77808', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.7134065000', 'longitude': '-96.3711766000', 'zipcode': '77808', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,Steak,40,3,$,[],,"{'aggregate_rating': '3.3', 'rating_text': 'Average', 'rating_color': 'CDD614', 'votes': '93'}",https://www.zomato.com/college-station-tx/rockin-b-steakhouse-bryan/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/rockin-b-steakhouse-bryan/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17851737,0,https://www.zomato.com/college-station-tx/rockin-b-steakhouse-bryan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324147},7d280e0c8e0c9327cd892eac713015f6,17324147,Johnny Carino's,https://www.zomato.com/college-station-tx/johnny-carinos-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '620 Harvey Rd 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6199000000', 'longitude': '-96.3132000000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Italian,25,2,$,[],,"{'aggregate_rating': '3.7', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '177'}",https://www.zomato.com/college-station-tx/johnny-carinos-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/johnny-carinos-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324147,0,https://www.zomato.com/college-station-tx/johnny-carinos-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324069},7d280e0c8e0c9327cd892eac713015f6,17324069,Buffalo Wild Wings,https://www.zomato.com/college-station-tx/buffalo-wild-wings-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '903 University Dr E 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6354680000', 'longitude': '-96.3247910000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Bar Food,25,2,$,[],,"{'aggregate_rating': '3.6', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '164'}",https://www.zomato.com/college-station-tx/buffalo-wild-wings-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/buffalo-wild-wings-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324069,0,https://www.zomato.com/college-station-tx/buffalo-wild-wings-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324155},7d280e0c8e0c9327cd892eac713015f6,17324155,Koppe Bridge,https://www.zomato.com/college-station-tx/koppe-bridge-1-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '3940 Harvey Rd 77845', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6486830000', 'longitude': '-96.2832670000', 'zipcode': '77845', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,"BBQ, Burger",25,2,$,[],,"{'aggregate_rating': '3.8', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '159'}",https://www.zomato.com/college-station-tx/koppe-bridge-1-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/koppe-bridge-1-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324155,0,https://www.zomato.com/college-station-tx/koppe-bridge-1-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324360},7d280e0c8e0c9327cd892eac713015f6,17324360,Brauhaus German Restaurant,https://www.zomato.com/college-station-tx/brauhaus-german-restaurant-bryan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '109 N. Main St 77803', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6738670000', 'longitude': '-96.3731130000', 'zipcode': '77803', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,"German, Vegetarian",25,2,$,[],,"{'aggregate_rating': '3.7', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '196'}",https://www.zomato.com/college-station-tx/brauhaus-german-restaurant-bryan/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/brauhaus-german-restaurant-bryan/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324360,0,https://www.zomato.com/college-station-tx/brauhaus-german-restaurant-bryan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324347},7d280e0c8e0c9327cd892eac713015f6,17324347,Must Be Heaven,https://www.zomato.com/college-station-tx/must-be-heaven-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '1700 Rock Prairie Rd W 77845', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.5828090000', 'longitude': '-96.2890090000', 'zipcode': '77845', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,"American, Breakfast, Sandwich",10,1,$,[],,"{'aggregate_rating': '3.8', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '194'}",https://www.zomato.com/college-station-tx/must-be-heaven-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/must-be-heaven-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324347,0,https://www.zomato.com/college-station-tx/must-be-heaven-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324184},7d280e0c8e0c9327cd892eac713015f6,17324184,On The Border,https://www.zomato.com/college-station-tx/on-the-border-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '709 Texas Ave S 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6264850000', 'longitude': '-96.3330750000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,"Mexican, Tex-Mex",25,2,$,[],,"{'aggregate_rating': '3.2', 'rating_text': 'Average', 'rating_color': 'CDD614', 'votes': '163'}",https://www.zomato.com/college-station-tx/on-the-border-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/on-the-border-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324184,0,https://www.zomato.com/college-station-tx/on-the-border-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324457},7d280e0c8e0c9327cd892eac713015f6,17324457,Genghis Grill,https://www.zomato.com/college-station-tx/genghis-grill-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '700 University Dr E 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6330791000', 'longitude': '-96.3282255000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,"Asian, Vegetarian",25,2,$,[],,"{'aggregate_rating': '3.9', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '198'}",https://www.zomato.com/college-station-tx/genghis-grill-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/genghis-grill-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324457,0,https://www.zomato.com/college-station-tx/genghis-grill-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324120},7d280e0c8e0c9327cd892eac713015f6,17324120,Freebirds World Burrito,https://www.zomato.com/college-station-tx/freebirds-world-burrito-1-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '2050 Texas Ave S Ste C 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6122000000', 'longitude': '-96.3155000000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Tex-Mex,10,1,$,[],,"{'aggregate_rating': '3.6', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '152'}",https://www.zomato.com/college-station-tx/freebirds-world-burrito-1-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/freebirds-world-burrito-1-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324120,0,https://www.zomato.com/college-station-tx/freebirds-world-burrito-1-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
