R,apikey,id,name,url,location,switch_to_order_menu,cuisines,average_cost_for_two,price_range,currency,offers,thumb,user_rating,photos_url,menu_url,featured_image,has_online_delivery,is_delivering_now,deeplink,has_table_booking,events_url,establishment_types
{'res_id': 17324209},7d280e0c8e0c9327cd892eac713015f6,17324209,Rosa's Cafe & Tortilla Factory,https://www.zomato.com/college-station-tx/rosas-cafe-tortilla-factory-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '710 University Dr E 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6332000000', 'longitude': '-96.3287000000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Mexican,10,1,$,[],,"{'aggregate_rating': '3.5', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '157'}",https://www.zomato.com/college-station-tx/rosas-cafe-tortilla-factory-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/rosas-cafe-tortilla-factory-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324209,0,https://www.zomato.com/college-station-tx/rosas-cafe-tortilla-factory-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17323975},7d280e0c8e0c9327cd892eac713015f6,17323975,Olive Garden,https://www.zomato.com/college-station-tx/olive-garden-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '510 Earl Rudder Freeway South 77845', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6420010000', 'longitude': '-96.3131790000', 'zipcode': '77845', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,Italian,25,2,$,[],,"{'aggregate_rating': '3.5', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '110'}",https://www.zomato.com/college-station-tx/olive-garden-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/olive-garden-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17323975,0,https://www.zomato.com/college-station-tx/olive-garden-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17323963},7d280e0c8e0c9327cd892eac713015f6,17323963,Martin's Place,https://www.zomato.com/college-station-tx/martins-place-bryan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '3403 S College Ave 77801', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6371000000', 'longitude': '-96.3562000000', 'zipcode': '77801', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,BBQ,10,1,$,[],,"{'aggregate_rating': '3.7', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '134'}",https://www.zomato.com/college-station-tx/martins-place-bryan/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/martins-place-bryan/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17323963,0,https://www.zomato.com/college-station-tx/martins-place-bryan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324350},7d280e0c8e0c9327cd892eac713015f6,17324350,The Vintage House Restaurant,https://www.zomato.com/college-station-tx/the-vintage-house-restaurant-bryan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '4545 Old Reliance Rd 77808', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.7020200000', 'longitude': '-96.3231320000', 'zipcode': '77808', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,"American, Seafood, Steak",40,3,$,[],,"{'aggregate_rating': '3.3', 'rating_text': 'Average', 'rating_color': 'CDD614', 'votes': '80'}",https://www.zomato.com/college-station-tx/the-vintage-house-restaurant-bryan/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/the-vintage-house-restaurant-bryan/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324350,0,https://www.zomato.com/college-station-tx/the-vintage-house-restaurant-bryan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324011},7d280e0c8e0c9327cd892eac713015f6,17324011,T Jin China Diner II,https://www.zomato.com/college-station-tx/t-jin-china-diner-ii-bryan?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '2305 Boonville Rd Ste 650 77808', 'locality': 'Bryan', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6721000000', 'longitude': '-96.3332000000', 'zipcode': '77808', 'country_id': 216, 'locality_verbose': 'Bryan, College Station'}",0,Chinese,10,1,$,[],,"{'aggregate_rating': '4.3', 'rating_text': 'Very Good', 'rating_color': '5BA829', 'votes': '313'}",https://www.zomato.com/college-station-tx/t-jin-china-diner-ii-bryan/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/t-jin-china-diner-ii-bryan/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324011,0,https://www.zomato.com/college-station-tx/t-jin-china-diner-ii-bryan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324202},7d280e0c8e0c9327cd892eac713015f6,17324202,Raising Cane's Chicken Fingers,https://www.zomato.com/college-station-tx/raising-canes-chicken-fingers-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '1045 Texas Ave S 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6222000000', 'longitude': '-96.3277000000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Fast Food,10,1,$,[],,"{'aggregate_rating': '3.6', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '144'}",https://www.zomato.com/college-station-tx/raising-canes-chicken-fingers-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/raising-canes-chicken-fingers-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324202,0,https://www.zomato.com/college-station-tx/raising-canes-chicken-fingers-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324096},7d280e0c8e0c9327cd892eac713015f6,17324096,Cotton Patch Cafe,https://www.zomato.com/college-station-tx/cotton-patch-cafe-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '3525 Longmire Dr Ste A 77845', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.5829000000', 'longitude': '-96.2866000000', 'zipcode': '77845', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,"American, Burger, Sandwich",10,1,$,[],,"{'aggregate_rating': '3.2', 'rating_text': 'Average', 'rating_color': 'CDD614', 'votes': '109'}",https://www.zomato.com/college-station-tx/cotton-patch-cafe-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/cotton-patch-cafe-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324096,0,https://www.zomato.com/college-station-tx/cotton-patch-cafe-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324128},7d280e0c8e0c9327cd892eac713015f6,17324128,Gumby's Pizza,https://www.zomato.com/college-station-tx/gumbys-pizza-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '107 Dominik Dr 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6180000000', 'longitude': '-96.3225000000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Pizza,10,1,$,[],,"{'aggregate_rating': '3.6', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '173'}",https://www.zomato.com/college-station-tx/gumbys-pizza-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/gumbys-pizza-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324128,0,https://www.zomato.com/college-station-tx/gumbys-pizza-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324396},7d280e0c8e0c9327cd892eac713015f6,17324396,Layne's Chicken Fingers,https://www.zomato.com/college-station-tx/laynes-chicken-fingers-1-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '1301 Wellborn Rd. 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.5908280000', 'longitude': '-96.3305750000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Fast Food,10,1,$,[],https://b.zmtcdn.com/data/pictures/6/17324396/311bb9a70985833a72446c96ffff2e62_featured_v2.jpg,"{'aggregate_rating': '4.1', 'rating_text': 'Very Good', 'rating_color': '5BA829', 'votes': '231'}",https://www.zomato.com/college-station-tx/laynes-chicken-fingers-1-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/laynes-chicken-fingers-1-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,https://b.zmtcdn.com/data/pictures/6/17324396/311bb9a70985833a72446c96ffff2e62_featured_v2.jpg,0,0,zomato://restaurant/17324396,0,https://www.zomato.com/college-station-tx/laynes-chicken-fingers-1-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
{'res_id': 17324218},7d280e0c8e0c9327cd892eac713015f6,17324218,Shipley Do-Nuts,https://www.zomato.com/college-station-tx/shipley-do-nuts-college-station?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"{'address': '1716 Southwest Pkwy 77840', 'locality': 'College Station', 'city': 'College Station', 'city_id': 1195, 'latitude': '30.6053000000', 'longitude': '-96.3111000000', 'zipcode': '77840', 'country_id': 216, 'locality_verbose': 'College Station, College Station'}",0,Breakfast,10,1,$,[],,"{'aggregate_rating': '3.8', 'rating_text': 'Good', 'rating_color': '9ACD32', 'votes': '136'}",https://www.zomato.com/college-station-tx/shipley-do-nuts-college-station/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/college-station-tx/shipley-do-nuts-college-station/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop,,0,0,zomato://restaurant/17324218,0,https://www.zomato.com/college-station-tx/shipley-do-nuts-college-station/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,[]
